STATE,STATEFP,COUNTYFP,COUNTYNAME,PLACEFP,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT
PA,42,3,Allegheny County,7976,1214772,Brackenridge borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,7992,1214773,Braddock borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,8008,1214774,Braddock Hills borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,8064,1214775,Bradford Woods borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,8416,1214776,Brentwood borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,8624,1214777,Bridgeville borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,11336,1214778,Carnegie borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,11348,2389282,Carnot-Moon CDP,CENSUS DESIGNATED PLACE,U2,S
PA,42,3,Allegheny County,11680,1214779,Castle Shannon borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,12496,1214780,Chalfant borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,13392,1214781,Cheswick borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,13608,1214782,Churchill borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,13704,1214783,Clairton city,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,14296,2631255,Clinton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,16144,1214784,Coraopolis borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,16848,1214785,Crafton borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,17832,2389386,Curtisville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,19576,1214786,Dormont borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,19856,1214787,Dravosburg borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,20432,1214788,Duquesne city,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,21444,1214789,East McKeesport borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,21712,1214790,East Pittsburgh borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,22520,1214791,Edgewood borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,22576,1214792,Edgeworth borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,22992,1214793,Elizabeth borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,23616,1214794,Emsworth borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,23720,2631263,Enlow CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,24160,1214795,Etna borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,26592,1214796,Forest Hills borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,27120,2086659,Fox Chapel borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,27552,2086666,Franklin Park borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,29040,2630009,Gibsonia CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,29432,1214797,Glassport borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,29592,1214798,Glenfield borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,29732,1214815,Glen Osborne borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,29800,2631270,Glenshaw CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,31120,2631273,Greenock CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,31256,1214799,Green Tree borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,33024,2631275,Harwick CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,33312,1214800,Haysville borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,33592,1214801,Heidelberg borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,35424,1214802,Homestead borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,36768,2631277,Imperial CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,37000,1214803,Ingram borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,37955,1217396,Jefferson Hills borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,42392,1214804,Leetsdale borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,43064,1214805,Liberty borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,43408,1214806,Lincoln borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,46072,1217317,McDonald borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,46256,1214807,McKeesport city,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,46264,1214808,McKees Rocks borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,49920,1214809,Millvale borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,50528,1217430,Monroeville municipality,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,51744,1214810,Mount Oliver borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,52320,1214811,Munhall borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,54568,2631293,Noblestown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,54816,1214812,North Braddock borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,55840,1214813,Oakdale borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,56088,1214814,Oakmont borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,59152,1214816,Pennsbury Village borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,60712,1214817,Pitcairn borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,61000,1214818,Pittsburgh city,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,61328,1214819,Pleasant Hills borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,61536,1217440,Plum borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,62320,1214820,Port Vue borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,63408,1214821,Rankin borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,64184,2631298,Rennerdale CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,66320,1214822,Rosslyn Farms borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,66832,2389790,Russellton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,69376,1214823,Sewickley borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,69400,1214824,Sewickley Heights borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,69416,1214825,Sewickley Hills borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,69776,1214826,Sharpsburg borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,72960,1214827,Springdale borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,74944,2631310,Sturgeon CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,75816,1214828,Swissvale borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,76104,1214829,Tarentum borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,76560,1214830,Thornburg borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,77272,1217318,Trafford borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,77912,1214831,Turtle Creek borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,80032,1214832,Verona borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,80040,1214833,Versailles borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,80600,1214834,Wall borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,82848,1214835,West Elizabeth borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,83200,1214836,West Homestead borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,83512,1214837,West Mifflin borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,84144,1214838,West View borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,84440,1214839,Whitaker borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,84512,1214840,Whitehall borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,84704,1214841,White Oak borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,85188,1214842,Wilkinsburg borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,85496,1214843,Wilmerding borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,2720,1214844,Apollo borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,2752,1214845,Applewold borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,3480,1214846,Atwood borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,18400,1214847,Dayton borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,22832,1214848,Elderton borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,26512,1214849,Ford City borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,26520,1214850,Ford Cliff borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,27784,1214851,Freeport borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,39960,2633303,Kiskimere CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,40040,1214852,Kittanning borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,42280,1214853,Leechburg borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,42672,2390058,Lenape Heights CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,47064,1214854,Manorville borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,54728,1214855,North Apollo borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,55480,2633307,North Vandergrift CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,56960,2389625,Orchard Hills CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,57976,1214856,Parker city,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,61432,2633310,Pleasant View CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,66720,1214857,Rural Valley borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,71976,1214858,South Bethlehem borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,76336,2634274,Templeton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,83172,2390477,West Hills CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,5,Armstrong County,83248,1214859,West Kittanning borough,INCORPORATED PLACE,C5,A
PA,42,5,Armstrong County,86560,1214860,Worthington borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,820,1214861,Aliquippa city,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,2288,1214862,Ambridge borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,3736,1214863,Baden borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,4688,1214864,Beaver borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,4792,1214865,Beaver Falls city,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,6240,1217435,Big Beaver borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,8632,1214866,Bridgewater borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,15872,1214867,Conway borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,18192,1214868,Darlington borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,21752,1214869,East Rochester borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,21968,1214870,Eastvale borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,22264,1214871,Economy borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,23304,1214872,Ellwood City borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,25152,1214873,Fallston borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,27312,1214874,Frankfort Springs borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,27712,1214875,Freedom borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,28000,2805504,Frisco CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,7,Beaver County,28824,1214876,Georgetown borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,29392,1214877,Glasgow borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,33364,2805509,Hazen CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,7,Beaver County,35488,1214879,Homewood borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,35576,1214880,Hookstown borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,36944,1214881,Industry borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,40400,1214882,Koppel borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,49184,1214883,Midland borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,50320,1214884,Monaca borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,53288,1214885,New Brighton borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,53592,1214886,New Galilee borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,56432,1214887,Ohioville borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,58384,1214888,Patterson Heights borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,65392,2086684,Rochester borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,70376,1214890,Shippingport borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,72216,1214891,South Heights borough,INCORPORATED PLACE,C5,A
PA,42,7,Beaver County,83472,1214893,West Mayfield borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,4944,1214895,Bedford borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,14584,1214896,Coaldale borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,18608,2630005,Defiance CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,9,Bedford County,20704,2633663,Earlston CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,9,Bedford County,24304,1214897,Everett borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,35648,1214898,Hopewell borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,36640,1214899,Hyndman borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,46944,1214900,Manns Choice borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,53928,1214901,New Paris borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,61496,1214902,Pleasantville borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,63312,1214903,Rainsburg borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,67256,1214904,St. Clairsville borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,68072,1214905,Saxton borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,68152,1214906,Schellsburg borough,INCORPORATED PLACE,C5,A
PA,42,9,Bedford County,74360,2630041,Stonerstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,9,Bedford County,86128,1214907,Woodbury borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,364,1217319,Adamstown borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,924,2633321,Alleghenyville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,2128,2633322,Alsace Manor CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,2349,2389133,Amity Gardens CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,3984,1214908,Bally borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,4488,2633326,Baumstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,4896,1214909,Bechtelsville borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,5848,1214910,Bernville borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,6000,2631249,Bethel CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,6504,1214911,Birdsboro borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,6984,2631250,Blandon CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,7800,2631252,Bowers CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,7960,1214912,Boyertown borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,12104,1214913,Centerport borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,15368,2633342,Colony Park CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,18256,2631257,Dauberville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,19680,2631259,Douglassville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,20096,2633351,Dryville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,22352,2631261,Edenburg CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,26280,1214914,Fleetwood borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,26397,2389092,Flying Hills CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,27130,2631267,Fox Chase CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,28128,2631268,Frystown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,29000,2631269,Gibraltar CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,30192,2633368,Gouglersville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,31038,2631272,Greenfields CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,31568,2631274,Grill CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,32120,1214915,Hamburg borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,34008,2631276,Hereford CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,36576,2633372,Hyde Park CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,37584,2631278,Jacksonwald CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,39224,2633376,Kempton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,39256,1214916,Kenhorst borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,40656,1214917,Kutztown borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,40666,2633378,Kutztown University CDP,CENSUS DESIGNATED PLACE,U2,S
PA,42,11,Berks County,41768,1214918,Laureldale borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,42352,1214919,Leesport borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,42688,1214920,Lenhartsville borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,43496,2631283,Lincoln Park CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,44672,2390091,Lorane CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,45752,1214921,Lyons borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,48120,2804621,Maxatawny CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,48824,2631284,Mertztown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,50272,1214922,Mohnton borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,50280,2631285,Mohrsville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,50748,2631286,Montrose Manor CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,51016,2631287,Morgantown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,51320,2631288,Mount Aetna CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,51760,1214923,Mount Penn borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,52216,2631290,Muhlenberg Park CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,53208,2631292,New Berlinville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,53728,2633406,New Jerusalem CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,53916,1217448,New Morgan borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,54064,2633407,New Schaefferstown CDP,CENSUS DESIGNATED PLACE,U2,S
PA,42,11,Berks County,56664,2631294,Oley CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,59176,2631296,Pennside CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,59207,2804622,Penn State Berks CDP,CENSUS DESIGNATED PLACE,U2,S
PA,42,11,Berks County,59304,2633408,Pennwyn CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,63624,1214924,Reading city,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,64056,2631297,Rehrersburg CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,64072,2389738,Reiffton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,65192,2631300,Riverview Park CDP,CENSUS DESIGNATED PLACE,U2,S
PA,42,11,Berks County,65336,1214925,Robesonia borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,67304,1214926,St. Lawrence borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,68248,2631302,Schubert CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,69816,2631303,Shartlesville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,70248,1214927,Shillington borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,70464,1214928,Shoemakersville borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,70880,1214929,Sinking Spring borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,72520,2426669,South Temple CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,73296,2631306,Springmont CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,73318,2390335,Spring Ridge CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,74448,2631308,Stony Creek Mills CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,74568,2631309,Stouchsburg CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,74744,2785019,Strausstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,76320,2390380,Temple CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,77104,1214932,Topton borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,80336,2631311,Virginville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,80808,2633419,Walnuttown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,82296,1214933,Wernersville borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,83120,2631313,West Hamburg CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,83280,2390481,West Lawn CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,83928,1214935,West Reading borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,84280,2390493,West Wyomissing CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,84856,2390510,Whitfield CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,11,Berks County,86056,1214936,Womelsdorf borough,INCORPORATED PLACE,C5,A
PA,42,11,Berks County,86880,1214937,Wyomissing borough,INCORPORATED PLACE,C5,A
PA,42,13,Blair County,2184,1214939,Altoona city,INCORPORATED PLACE,C5,A
